4;Afghanistan;201;Least developed countries
24;Angola;201; Least developed countries
50;Bangladesh;201; Least developed countries
204;Benin;201; Least developed countries
64;Bhutan;201; Least developed countries
854;Burkina Faso;201; Least developed countries
108;Burundi;201; Least developed countries
116;Cambodia;201; Least developed countries
140;Central African Republic;201; Least developed countries
148;Chad;201; Least developed countries
174;Comoros;201; Least developed countries
180;Democratic Republic of the Congo;201; Least developed countries
262;Djibouti;201; Least developed countries
226;Equatorial Guinea;201; Least developed countries
232;Eritrea;201; Least developed countries
231;Ethiopia;201; Least developed countries
270;Gambia;201; Least developed countries
324;Guinea;201; Least developed countries
624;Guinea Bissau;201; Least developed countries
332;Haiti;201; Least developed countries
296;Kiribati;201; Least developed countries
418;Lao People's Democratic Republic;201; Least developed countries
426;Lesotho;201; Least developed countries
430;Liberia;201; Least developed countries
450;Madagascar;201; Least developed countries
454;Malawi;201; Least developed countries
466;Mali;201; Least developed countries
478;Mauritania;201; Least developed countries
508;Mozambique;201; Least developed countries
104;Myanmar;201; Least developed countries
524;Nepal;201; Least developed countries
562;Niger;201; Least developed countries
646;Rwanda;201; Least developed countries
882;Samoa;201; Least developed countries
678;Sao Tome and Principe;201; Least developed countries
686;Senegal;201; Least developed countries
694;Sierra Leone;201; Least developed countries
90;Solomon Islands;201; Least developed countries
706;Somalia;201; Least developed countries
729;Sudan;201; Least developed countries
626;Timor-Leste;201; Least developed countries
768;Togo;201; Least developed countries
798;Tuvalu;201; Least developed countries
800;Uganda;201; Least developed countries
834;United Republic of Tanzania;201; Least developed countries
548;Vanuatu;201; Least developed countries
887;Yemen;201; Least developed countries
894;Zambia;201; Least developed countries
4;Afghanistan;202;Landlocked developing countries
51;Armenia;202;Landlocked developing countries
31;Azerbaijan;202;Landlocked developing countries
64;Bhutan;202;Landlocked developing countries
68;Bolivia (Plurinational State of);202;Landlocked developing countries
72;Botswana;202;Landlocked developing countries
854;Burkina Faso;202;Landlocked developing countries
108;Burundi;202;Landlocked developing countries
140;Central African Republic;202;Landlocked developing countries
148;Chad;202;Landlocked developing countries
231;Ethiopia;202;Landlocked developing countries
398;Kazakhstan;202;Landlocked developing countries
417;Kyrgyzstan;202;Landlocked developing countries
418;Lao People's Democratic Republic;202;Landlocked developing countries
